# import_name	package_name	default_version	source
svgwrite	svgwrite	1.4.3	discrepancy
urwid	urwid	2.6.16	discrepancy
sortedcontainers	sortedcontainers	2.4.0	discrepancy
bidict	bidict	0.23.1	discrepancy
cachetools	cachetools	5.5.0	discrepancy
tenacity	tenacity	9.0.0	discrepancy
backoff	backoff	2.2.1	discrepancy
apscheduler	APScheduler	3.10.4	discrepancy
wrapt	wrapt	1.17.0	discrepancy
boltons	boltons	24.1.0	discrepancy
toolz	toolz	1.0.0	discrepancy
funcy	funcy	2.0	discrepancy
geopy	geopy	2.4.1	discrepancy
validators	validators	0.34.0	discrepancy
itsdangerous	itsdangerous	2.2.0	discrepancy
semver	semver	3.0.2	discrepancy
packaging	packaging	24.2	discrepancy
distro	distro	1.9.0	discrepancy
psutil	psutil	6.1.0	discrepancy
bluetooth	PyBluez	0.30	discrepancy
paho	paho-mqtt	2.1.0	discrepancy
sip	sip	6.9.1	discrepancy
